Timestamp,Мојата примарна работна позиција е:,Која алатка или вебсајт ја користиш примарно при работа? ,Работам...,Работам на позиција,Вкупен износ на примања (нето износ) на месечно ниво во денари,Колку луѓе се дел од вашиот тим или колку вработени има во компанијата?,Мојот примарен оперативен систем е:,Што ви пречи во процесот на регрутирање?,Што Ви е најважно кога барате работа? ,Што најмногу ви пречи на работното место?,Што е првото нешто што го преземате кога не сте задоволни од работното место?,Дали поседуваш дополнителни сертификати поврзани со дејноста во која работиш?,Каде прво барате огласи за нови работни позиции?,Пол,Возраст,Степен на образование,Примарен извор на моето знаење за дигитален маркетинг е:,Колку години се занимаваш со оваа професија?,Заборавивме нешто? Пиши нѝ коментар
2/7/2019 20:07:54,Менаџер за дигитален маркетинг,Facebook,Јавен сектор ,Middle,36000,1-10,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Веб страните на компаниите,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/7/2019 20:57:41,Се,Зависи од потребата,во домашна компанија,Немаме такви титули,41000,Тим од 2,Windows,Brainteasers или слични тестови кои не се релевантни за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Компаниската култура, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Женски,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/7/2019 21:01:37,Е-маркетинг специјалист,Outlook email,во домашна компанија,Junior,25000,1000+,Windows,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Локација на работното место","Лоша интерна организација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Женски,18-24,Завршени дипломски студии,Пракса во ИКТ компанија,помалку од 5,
2/7/2019 22:16:16,Analytics и PPC специјалист,AdWords and analytics,"во домашна компанија, фриленс",Middle,30000,11 - 100,Windows,Недоволно информации за работната позиција,"Можност за учење и развој, Плата и бонуси",Ништо,Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,35-44,Средно образование,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/7/2019 23:09:50,контент менаџер,"WordPress, Mailchimp, Carma, BizWizard",во претставништво на странска компанија во Македонија,Senior,28,11 - 100,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ","Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,Одлична иницијатива
2/8/2019 2:32:46,Менаџер за дигитален маркетинг,SEOMOz,во претставништво на странска компанија во Македонија,Senior,32000,1-10,Windows,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Компаниската култура, Локација на работното место, Профилот и искуството на другите вработени во тимот","Неточен краен рок, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Не и не планирам,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,samostojni izvori tutoriali i iskustvo od rabota,5-10 години,
2/8/2019 9:10:22,Е-маркетинг специјалист,"Microsoft Office Word, Excel",во домашна компанија,Junior,17,"Мојот тим брои 3 луѓе - маркетинг сектор, додека компанијата број 120 вработени",Windows,"Долг и бавен процес на интервјуирање, Компаниите бавно одговараат на маилови испратени како апликација за работна позиција (се случува да поминат 2-3 месеци за повикување на интерјву, тест или едноставно одговор дека си примен/не си примен на работа)","Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Флексибилност во работното време","Лошо напишана документација, Лоша интерна организација",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Женски,18-24,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/8/2019 11:56:45,Менаџер за дигитален маркетинг,"Google Ads, Facebook Business Manager, Google Analytics, Linkedin Ads, Twitter Ads, App Nexus. ",во претставништво на странска компанија во Македонија,Senior,25000,1-10,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Неточен краен рок, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/8/2019 12:03:17,Менаџер за дигитален маркетинг,n/a,Во странство,Senior,45000,11 - 100,Windows,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Компаниската култура, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација",Зборувам со менаџерот/претпоставениот,Да,LinkedIn,Машки,25-34,Завршени постдипломски студии,Znaenjeto mi e steknato niz rabotniot proces,5-10 години,
2/8/2019 12:54:05,дигитален маркетер,Google Analytics,во домашна компанија,Junior,18000,Само јас,Windows,Нетранспарентност во процесот на одредување на платата,"Плата и бонуси, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски",Не би ја препорачал компанијата на други,Да,се од горенаведените,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/8/2019 13:34:33,"Друштвени медиуми - менаџирање, содржина...",Microsoft Office,во претставништво на странска компанија во Македонија,Middle,35000,11 - 100,Windows,Недоволно информации за работната позиција,"Плата и бонуси, Компаниската култура, Локација на работното место, Можност за работа од дома (remote work), Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/8/2019 14:10:07,Менаџер за дигитален маркетинг,Facebook Business Manager,во домашна компанија,Middle,24,11 - 100,Windows,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Компаниската култура, Локација на работното место, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата",Сѐ е со највисок приоритет (притисок при работа),Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,25-34,Средно образование,"Знаење преку искуство на работното место, како и од другите вработени.",5-10 години,
2/8/2019 16:02:20,Генерација на лидови,"simmilarweb, alexa",во претставништво на странска компанија во Македонија,Middle,16000,1-10,Linux,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,"Не, но активно разгледувам опции за сертифицирање",Веб страните на компаниите,Машки,25-34,Завршени постдипломски студии,Пракса во ИКТ компанија,помалку од 5,
2/8/2019 19:50:14,"Друштвени медиуми - менаџирање, содржина...",Facebook ,во домашна компанија,Junior,20000,11 - 100,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа",Работам со минимално вложување на труд,"Не, но активно разгледувам опции за сертифицирање",LinkedIn,Женски,18-24,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/9/2019 8:57:56,Менаџер за дигитален маркетинг,Повеќе,во домашна компанија,Senior,90000,1-10,Windows,Нетранспарентност во процесот на одредување на платата,"Плата и бонуси, Компаниската култура, Стабилност на компанијата",Недостаток на тимска работа,Зборувам со менаџерот/претпоставениот,Не и не планирам,Социјални медиуми,Машки,25-34,Доктор на науки,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/9/2019 15:53:54,SEO специјалист,Keyword tool,фриленс,Middle,30000,Само јас,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Социјални медиуми,Машки,35-44,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",11-15 години,
2/9/2019 17:59:58,Analytics и PPC специјалист,"Google Chrome, Amazon seller central, Microsoft Excel",remote за странска компанија,Немаме поделба на позиции од горенаведените.,103000,1-10,Windows,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/10/2019 10:30:12,Менаџер за дигитален маркетинг,"Facebook, Google Analytics, Google Ads",во претставништво на странска компанија во Македонија,Senior,41000,1-10,Windows,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Женски,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/10/2019 14:17:43,Менаџер за дигитален маркетинг,"Користам повеќе различни, но ги издвојувам Google Analytics, Google Ads, Facebook business manager, Mailchimp ",во домашна компанија,Senior,20000,1-10,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот","Лоша интерна организација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/10/2019 20:56:07,"Друштвени медиуми - менаџирање, содржина...",Adobe Photoshop,во претставништво на странска компанија во Македонија,Junior,21,11 - 100,Mac,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата",/,Ниту едно од наведените,Да,Други македонски портали за огласи,Женски,18-24,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/11/2019 0:42:04,Пишување на содржина за дигитални платформи,Adobe ,во домашна компанија,Senior,300000,Само јас,Linux,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок",Ниту едно од наведените,Не и не планирам,IT.mk и IT.mk/Kariera,Машки,25-34,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/11/2019 9:25:35,Менаџер за дигитален маркетинг,Google Ads,во претставништво на странска компанија во Македонија,Senior,27000,11 - 100,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,Да,Други македонски портали за огласи,Женски,35-44,Завршени дипломски студии,Дипломските и додипломските студии,11-15 години,
2/11/2019 12:07:32,Генерација на лидови,Hunter8,во претставништво на странска компанија во Македонија,Junior,18500,1-10,Windows,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Стабилност на компанијата, Флексибилност во работното време, Тренинзи и обуки","Лоша интерна организација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Не и не планирам,Други македонски портали за огласи,Машки,18-24,Завршени дипломски студии,Пракса во ИКТ компанија,помалку од 5,
2/11/2019 12:11:10,Менаџер за дигитален маркетинг,facebook,во претставништво на странска компанија во Македонија,Senior,74000,501 - 1000,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Флексибилност во работното време","Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,Да,IT.mk и IT.mk/Kariera,Женски,25-34,Завршени постдипломски студии,Пракса во ИКТ компанија,5-10 години,
2/19/2019 10:53:52,"Друштвени медиуми - менаџирање, содржина...",Google docs,во домашна компанија,Middle,16000,1-10,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Профилот и искуството на другите вработени во тимот, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Не би ја препорачал компанијата на други,Да,Други македонски портали за огласи,Женски,25-34,Завршени постдипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/19/2019 20:53:29,Менаџер за дигитален маркетинг,Facebook,во домашна компанија,Middle,30,11 - 100,Windows,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Локација на работното место, Профилот и искуството на другите вработени во тимот",Сѐ е со највисок приоритет (притисок при работа),Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,25-34,Завршени постдипломски студии,Дипломските и додипломските студии,5-10 години,
2/20/2019 6:39:20,Менаџер за дигитален маркетинг,Google Sheets,remote за странска компанија,Senior,60000,11 - 100,Mac,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Женски,35-44,Завршени дипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",5-10 години,
2/20/2019 10:56:54,"Друштвени медиуми - менаџирање, содржина...","Wordpress, Facebook, Instagram, PR ",во домашна компанија,Assistant,12,1-10,Windows,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Можност за работа од дома (remote work)","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,Да,Социјални медиуми,Женски,18-24,Завршени дипломски студии,Akademija za digitalen marketing ,помалку од 5,
2/20/2019 19:09:19,Пишување на содржина за дигитални платформи,WordPress,"фриленс, remote за странска компанија",Middle,60000,11 - 100,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,"Google, social media, job search websites",Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и туторијали, обука во локални специјализирани центри и платени онлајн курсеви.",5-10 години,
2/21/2019 15:41:03,Е-маркетинг специјалист,Аsana,во претставништво на странска компанија во Македонија,Senior,27000,11 - 100,Windows,"Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Социјални медиуми,Женски,25-34,Завршени постдипломски студии,Дипломските и додипломските студии,5-10 години,
2/21/2019 17:37:16,SEO специјалист,"Ahrefs, Semrush & Spyfu",во домашна компанија,Lead,30,11 - 100,Windows,Недоволно информации за работната позиција,"Плата и бонуси, Компаниската култура, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата","Неточен краен рок, Лоша интерна организација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Веб страните на компаниите,Машки,25-34,Завршени постдипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",5-10 години,
2/22/2019 10:29:00,Генерација на лидови,google ads,во претставништво на странска компанија во Македонија,Senior,30,1-10,Windows,Недоволно информации за работната позиција,"Можност за учење и развој, Плата и бонуси, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Социјални медиуми,Женски,25-34,Доктор на науки,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/23/2019 10:05:54,"Друштвени медиуми - менаџирање, содржина...",Facebook,во претставништво на странска компанија во Македонија,Middle,18000,11 - 100,Windows,Недоволно информации за работната позиција,"Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам","Сѐ е со највисок приоритет (притисок при работа), Лошо дефинирани работни обврски, Недостаток на тимска работа",Работам со минимално вложување на труд,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,18-24,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,Ни без апостроф :) супер сте патем
2/23/2019 12:28:44,Пишување на содржина за дигитални платформи,Сопствена платформа ,remote за странска компанија,Middle,42,1-10,Windows,"Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски",Зборувам со менаџерот/претпоставениот,Да,IT.mk и IT.mk/Kariera,Женски,18-24,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/23/2019 15:51:17,SEO специјалист,"Ubersuggest, SEMrush, Slack, Google Analytics",во домашна компанија,Junior,16000,1-10,Windows,Нетранспарентност во процесот на одредување на платата,"Можност за учење и развој, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Лошо дефинирани работни обврски, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,18-24,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/23/2019 18:00:12,Е-маркетинг специјалист,"canva, Google Analytics, seo tools",во домашна компанија,Junior,18500,1-10,Windows,Недоволно информации за работната позиција,"Можност за учење и развој, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски",Ниту едно од наведените,"Не, но активно разгледувам опции за сертифицирање",Се информирам преку познаници,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/23/2019 18:37:52,"Друштвени медиуми - менаџирање, содржина...",Facebook Business Manager,во домашна компанија,Senior,20000,1-10,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Локација на работното место, Стабилност на компанијата, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Женски,25-34,Средно образование,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,