Timestamp,Мојата примарна работна позиција е:,Која алатка или вебсајт ја користиш примарно при работа? ,Работам...,Работам на позиција,Вкупен износ на примања (нето износ) на месечно ниво во денари,Колку луѓе се дел од вашиот тим или колку вработени има во компанијата?,Мојот примарен оперативен систем е:,Што ви пречи во процесот на регрутирање?,Што Ви е најважно кога барате работа? ,Што најмногу ви пречи на работното место?,Што е првото нешто што го преземате кога не сте задоволни од работното место?,Дали поседуваш дополнителни сертификати поврзани со дејноста во која работиш?,Каде прво барате огласи за нови работни позиции?,Пол,Возраст,Степен на образование,Примарен извор на моето знаење  е:,Колку години се занимаваш со оваа професија?,Заборавивме нешто? Пиши нѝ коментар
2/7/2019 12:57:18,Senior .NET Developer,Visual Studio 2017,во претставништво на странска компанија во Македонија,Senior,122000,11 - 100,Windows,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Локација на работното место, Флексибилност во работното време",Лошо напишана документација,Зборувам со менаџерот/претпоставениот,Не и не планирам,Социјални медиуми,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/7/2019 13:21:19,Актер,Adobe CC,"во домашна компанија, фриленс, remote за странска компанија",Middle,120000,11 - 100,Windows,Немање доволно информации за компанијата,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време",Лошо напишана документација,Зборувам со менаџерот/претпоставениот,Не и не планирам,Vrabotuvanje.com.mk,Машки,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",16-20 години,
2/7/2019 15:33:25,Project Manager,Internally developed tool,во претставништво на странска компанија во Македонија,Senior,100000,101 - 500,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата","Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите, Лоши меѓучовечки односи, нетранспарентност на одлуките на главните",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Женски,35-44,Завршени дипломски студии,Пракса во ИКТ компанија,16-20 години,
2/7/2019 16:58:44,IT Coordnator,Windows Server ,Nevladina,Middle,36000,11 - 100,Windows,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Локација на работното место, Стабилност на компанијата","Лошо дефинирани работни обврски, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,35-44,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/7/2019 18:25:37,cmm programer,quartis,во претставништво на странска компанија во Македонија,Senior,40000,101 - 500,Windows,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам","Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ","Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/7/2019 21:37:56,Developer,Visual studio,во домашна компанија,Lead,100000,11 - 100,Windows,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција","Добар баланс помеѓу работата и приватниот живот, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Несоодветен менаџмент за проектите",Не би ја препорачал компанијата на други,Не и не планирам,Се информирам преку познаници,Машки,25-34,Завршени дипломски студии,Пракса во ИКТ компанија,5-10 години,
2/7/2019 22:12:55,Database developer,Sql server,во претставништво на странска компанија во Македонија,Senior,90000,101 - 500,Windows,Brainteasers или слични тестови кои не се релевантни за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Не и не планирам,Социјални медиуми,Женски,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",11-15 години,
2/8/2019 11:40:43,комерцијалист,"outlook, MS Access, Office, Chrome",во домашна компанија,Комерција,28000,11 - 100,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,Да,Веб страните на компаниите,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/8/2019 12:21:08,Digital Products Manager ,n/a,Во странство,Senior,0,1000+,Windows,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време",Недостаток на тимска работа,Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,35-44,Завршени постдипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",16-20 години,
2/8/2019 16:33:45,Regional IT Help Desk,Ticketing System ,во претставништво на странска компанија во Македонија,Middle,30000,11 - 100,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата, Колку точно е плата, и кој се конкретните работни задачи.","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Локација на работното место, Можност за работа од дома (remote work), Флексибилност во работното време","Лошо напишана документација, Неточен краен рок, Лоша интерна организација, Несоодветен менаџмент за проектите",Ниту едно од наведените,Да,Други македонски портали за огласи,Машки,25-34,Средно образование,Пракса во ИКТ компанија,5-10 години,
2/8/2019 17:59:10,Програмер / Администратор на бази на податоци,Visual Studio,во домашна компанија,Middle,52000,101 - 500,Windows,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Локација на работното место, Стабилност на компанијата, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа",Ниту едно од наведените,"Не, но активно разгледувам опции за сертифицирање",Веб страните на компаниите,Машки,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",11-15 години,
2/8/2019 21:24:19,Sales,Outlook,во претставништво на странска компанија во Македонија,Senior,90000,1-10,Windows,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Стабилност на компанијата","Сѐ е со највисок приоритет (притисок при работа), Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Машки,35-44,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",11-15 години,
2/8/2019 21:52:03,service desk engineer 24/7,"SCOM, SQL mng studio, AX Dynamics ",во претставништво на странска компанија во Македонија,Middle,39000,11 - 100,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Тренинзи и обуки","Лошо напишана документација, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Женски,25-34,Завршени дипломски студии,"Master's studies abroad, self education by tutorials and documents ",помалку од 5,
2/9/2019 11:00:57,BDM,Outlook,во домашна компанија,Senior,50000,11 - 100,Mac,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/9/2019 11:37:47,Систем администратор,"Hyper-V, MySQL, Windows server 2012...",во претставништво на странска компанија во Македонија,Junior,27000,Само јас,Windows,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки",Лошо напишана документација,Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,18-24,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/9/2019 13:15:16,System engineer,windows OS,во домашна компанија,Junior,31000,1-10,Windows,"Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,"Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/9/2019 14:25:31,It admnistrator,Kaspersky,во домашна компанија,Junior,22,1-10,Windows,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време, Тренинзи и обуки","Лошо напишана документација, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,"Не, но активно разгледувам опции за сертифицирање",IT.mk и IT.mk/Kariera,Женски,35-44,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/9/2019 15:57:24,Project manager,"Jira, Pivotal tracker, MS Project ",во домашна компанија,Middle,50000,11 - 100,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција","Можност за учење и развој, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Флексибилност во работното време, Тренинзи и обуки","Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Машки,35-44,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/9/2019 17:28:16,Web Designer,Photoshop,во претставништво на странска компанија во Македонија,Middle,37000,1-10,Mac,Немање доволно информации за компанијата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време",Сѐ е со највисок приоритет (притисок при работа),Ниту едно од наведените,Не и не планирам,Социјални медиуми,Машки,18-24,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/9/2019 20:16:12,Координатор на инжињери на терен и Junior Project Manager,"интерен софтвер Time 3, Microsoft Share Point, Outlook",во претставништво на странска компанија во Македонија,Junior,33000,11 - 100,Windows,Недоволно информации за работната позиција,"Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Лоша интерна организација",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/9/2019 23:36:04,Dizajner,Adobe cloud,во домашна компанија,Senior,24000,1-10,Windows,Долг и бавен процес на интервјуирање,Флексибилност во работното време,"Лоша интерна организација, Лошо дефинирани работни обврски",Ниту едно од наведените,Да,Социјални медиуми,Машки,35-44,Завршени дипломски студии,Дипломските и додипломските студии,16-20 години,
2/10/2019 0:29:16,"it administrator, mrezen adminstrator, IT security",google search,во домашна компанија,Senior,33000,501 - 1000,Windows,Немање доволно информации за компанијата,"Добар баланс помеѓу работата и приватниот живот, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Ниту едно од наведените,Да,Се информирам преку познаници,Машки,35-44,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",11-15 години,
2/10/2019 11:22:16,"Сервисер, одржување IT опрема и софтвер во компании.",Мојот личен мозок и искуство,фриленс,My own damn boss,30000,Само јас,Windows,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Флексибилност во работното време",Сѐ е со највисок приоритет (притисок при работа),"Наоѓам друга работа, па тогаш давам отказ",Не и не планирам,Се информирам преку познаници,Машки,35-44,Завршени постдипломски студии,Пракса во ИКТ компанија,повеќе од 20 години,
2/10/2019 21:11:51,System Administrator,PuTTY,во домашна компанија,Middle,48000,11 - 100,Dual-boot,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,35-44,Завршени дипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",11-15 години,Задоволство од менаџерите (Нивната грижа за вработените); Задоволство од компанијата работодавач; (НЕ)придржување на компаниите до законите за прекувремена работа
2/11/2019 13:25:42,QA Engineer,"Selenium, Jmeter, Robot,",во домашна компанија,Middle,30000,101 - 500,Windows,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Локација на работното место, Стабилност на компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Не и не планирам,N/A,Машки,25-34,Завршени дипломски студии,Пракса во ИКТ компанија,помалку од 5,
2/11/2019 14:05:39,QA,Jira,во домашна компанија,Middle,25000,11 - 100,Windows,Немање доволно информации за компанијата,"Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/12/2019 12:33:33,"Tester, QA",PG admin,во претставништво на странска компанија во Македонија,Senior,55,101 - 500,Windows,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси","Лошо напишана документација, Неточен краен рок",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Се информирам преку познаници,Женски,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/13/2019 9:32:16,администратор,Microsoft Office,средно училиште,Информатичар,17000,11 - 100,Windows,Недоволно информации за работната позиција,"Плата и бонуси, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лошо дефинирани работни обврски",Работам со минимално вложување на труд,"Не, но активно разгледувам опции за сертифицирање",Се информирам преку познаници,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/13/2019 18:00:37,Собетник,Google,Kultura,Senior,20.45,1-10,Windows,Нетранспарентност во процесот на одредување на платата,"Можност за учење и развој, Плата и бонуси, Тренинзи и обуки",Несоодветен менаџмент за проектите,Работам со минимално вложување на труд,Да,Социјални медиуми,Машки,55-64,Завршени дипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",повеќе од 20 години,Prevrteni/naopaku se Site raboti Kaj Nas. 
2/17/2019 1:00:47,Tech hardware support ,TeamViewer ,фриленс,Senior,50000,Само јас,Linux,Долг и бавен процес на интервјуирање,"Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време, Тренинзи и обуки","Лошо напишана документација, Неточен краен рок, Лошо дефинирани работни обврски","Наоѓам друга работа, па тогаш давам отказ",Да,Социјални медиуми,Машки,45-54,Завршени дипломски студии,Пракса во ИКТ компанија,повеќе од 20 години,
2/17/2019 17:19:51,Systems Engineer,Aws.Amazon.com,во претставништво на странска компанија во Македонија,Senior,65000,1-10,Windows,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Флексибилност во работното време","Лоша интерна организација, Лошо дефинирани работни обврски","Наоѓам друга работа, па тогаш давам отказ",Да,Социјални медиуми,Машки,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",11-15 години,
2/18/2019 10:49:48,Инженер на софтвер: Data Scientist,SAS,во домашна компанија,Junior,33556,11 - 100,Mac,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Лошо дефинирани работни обврски",Разговарам со претставникот од HR или со претпоставениот на проектот.,"Не, но активно разгледувам опции за сертифицирање",Веб страните на компаниите,Женски,18-24,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/19/2019 0:57:27,Помошник менаџер,/,во претставништво на странска компанија во Македонија,Помошник менаџер ,27000,5,Windows,"Недоволно информации за работната позиција, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Компаниската култура, Локација на работното место, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,"Огласи, познаници, социјални медиуми...",Машки,35-44,Средно образование,Самоиницијативно учење и специјализирано александрија,16-20 години,
2/26/2019 21:40:21,Sales manager,www.exai.com,во претставништво на странска компанија во Македонија,Senior,36500,11 - 100,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација",Зборувам со менаџерот/претпоставениот,Не и не планирам,Социјални медиуми,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,